drug,cell_line,y_true,y_pred,fold,rep,model,alpha,loss,seed,arch
doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,0.5611410140991211,0.5179334381257245,4,X_pca,mlp,0.0,mse,42,linear
doxorubicin,8305C_THYROID,0.5387490391731262,0.5708024192739416,4,X_pca,mlp,0.0,mse,42,linear
doxorubicin,A204_SOFT_TISSUE,0.3751550614833832,0.5760424839258194,4,X_pca,mlp,0.0,mse,42,linear
doxorubicin,A2058_SKIN,0.4950177073478699,0.5975159468496738,5,X_pca,mlp,0.0,mse,42,linear
doxorubicin,A375_SKIN,0.5054274201393127,0.5937183806405703,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,ACCMESO1_PLEURA,0.6358495950698853,0.6470490465929479,2,X_pca,mlp,0.0,mse,42,linear
doxorubicin,ASPC1_PANCREAS,0.7291187644004822,0.721212893313375,4,X_pca,mlp,0.0,mse,42,linear
doxorubicin,BCPAP_THYROID,0.5380156636238098,0.5649689849662153,4,X_pca,mlp,0.0,mse,42,linear
doxorubicin,BFTC909_KIDNEY,0.585321843624115,0.614842244455871,5,X_pca,mlp,0.0,mse,42,linear
doxorubicin,BHY_UPPER_AERODIGESTIVE_TRACT,0.4835294783115387,0.5598624134885853,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,BICR16_UPPER_AERODIGESTIVE_TRACT,0.6258533000946045,0.5569272450399849,5,X_pca,mlp,0.0,mse,42,linear
doxorubicin,BICR31_UPPER_AERODIGESTIVE_TRACT,0.5435177683830261,0.5747719798837939,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,BICR56_UPPER_AERODIGESTIVE_TRACT,0.6303225755691528,0.47418527875417543,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,BICR6_UPPER_AERODIGESTIVE_TRACT,0.5066924095153809,0.5732915510872861,5,X_pca,mlp,0.0,mse,42,linear
doxorubicin,BT474_BREAST,0.7362895607948303,0.6693636574745179,4,X_pca,mlp,0.0,mse,42,linear
doxorubicin,BT549_BREAST,0.5603541731834412,0.5793736585997101,1,X_pca,mlp,0.0,mse,42,linear
doxorubicin,CAKI2_KIDNEY,0.8098970055580139,0.6914094778702413,4,X_pca,mlp,0.0,mse,42,linear
doxorubicin,CALU6_LUNG,0.6933369636535645,0.6453949439433194,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,CAMA1_BREAST,0.6567535400390625,0.596950091959275,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,CAS1_CENTRAL_NERVOUS_SYSTEM,0.4726645350456238,0.5411280035076285,1,X_pca,mlp,0.0,mse,42,linear
doxorubicin,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,0.624411404132843,0.5575757891666598,5,X_pca,mlp,0.0,mse,42,linear
doxorubicin,COLO741_SKIN,0.8535335659980774,0.5627034933371384,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,COLO792_SKIN,0.6422173380851746,0.5722683001708281,2,X_pca,mlp,0.0,mse,42,linear
doxorubicin,COV434_OVARY,0.3253573477268219,0.5312915938821706,4,X_pca,mlp,0.0,mse,42,linear
doxorubicin,DETROIT562_UPPER_AERODIGESTIVE_TRACT,0.6028164625167847,0.5310655192363481,2,X_pca,mlp,0.0,mse,42,linear
doxorubicin,DKMG_CENTRAL_NERVOUS_SYSTEM,0.5278626680374146,0.5340653729394793,5,X_pca,mlp,0.0,mse,42,linear
doxorubicin,EBC1_LUNG,0.4876810908317566,0.591856213827287,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,EFE184_ENDOMETRIUM,0.8111908435821533,0.6336843135745026,4,X_pca,mlp,0.0,mse,42,linear
doxorubicin,EFM192A_BREAST,0.5801385045051575,0.5897858880303644,5,X_pca,mlp,0.0,mse,42,linear
doxorubicin,EKVX_LUNG,0.7006396651268005,0.5937498807907104,2,X_pca,mlp,0.0,mse,42,linear
doxorubicin,FTC133_THYROID,0.54218590259552,0.6106163354856627,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,GOS3_CENTRAL_NERVOUS_SYSTEM,0.5780242085456848,0.6085629352412298,2,X_pca,mlp,0.0,mse,42,linear
doxorubicin,HCC1428_BREAST,0.6737597584724426,0.609693775026817,5,X_pca,mlp,0.0,mse,42,linear
doxorubicin,HCC366_LUNG,0.6135154962539673,0.6293496752139365,5,X_pca,mlp,0.0,mse,42,linear
doxorubicin,HCC38_BREAST,0.5100096464157104,0.6095669412612915,5,X_pca,mlp,0.0,mse,42,linear
doxorubicin,HCC56_LARGE_INTESTINE,0.810954749584198,0.654620349407196,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,HDQP1_BREAST,0.7888896465301514,0.5858206367120147,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,HEC151_ENDOMETRIUM,0.40951746702194214,0.6162969672679901,4,X_pca,mlp,0.0,mse,42,linear
doxorubicin,HEC251_ENDOMETRIUM,0.5875652432441711,0.5833306730350601,3,X_pca,mlp,0.0,mse,42,linear
doxorubicin,HEC6_ENDOMETRIUM,0.5559057593345642,0.5426522821002866,1,X_pca,mlp,0.0,mse,42,linear
doxorubicin,HEP3B217_LIVER,0.7229253053665161,0.5650290685184931,2,X_pca,mlp,0.0,mse,42,linear
doxorubicin,HMC18_BREAST,0.4536672532558441,0.585169845168501,2,X_pca,mlp,0.0,mse,42,linear
